,averaged daily return,averaged daily return after transaction cost
2017-05-08,-0.03303682484554572,-0.03303682484554572
2017-05-09,0.005265579706736155,0.004901943343099791
2017-05-10,-0.025568210318428028,-0.025568210318428028
2017-05-11,0.012225448230861028,0.012225448230861028
2017-05-12,0.004843580032705796,0.004843580032705796
2017-05-15,-0.0032906922967941956,-0.0032906922967941956
2017-05-16,0.030863053527724418,0.030499417164088053
2017-05-17,0.006802363931459364,0.006802363931459364
2017-05-18,-0.00936100401435662,-0.00936100401435662
2017-05-19,-0.003547849542456772,-0.003547849542456772
2017-05-22,-0.018598715673107617,-0.018598715673107617
2017-05-23,-0.019165930397462297,-0.019771991003522903
2017-05-24,0.009196816214083576,0.009196816214083576
2017-05-25,0.015016262312712901,0.015016262312712901
2017-05-26,0.0009624938237198696,0.0009624938237198696
2017-05-31,0.003448737954169059,0.003448737954169059
2017-06-01,-0.014540507890922394,-0.015146568496983
2017-06-02,0.005865384183146467,0.005865384183146467
2017-06-05,-0.00024720053808538657,-0.00024720053808538657
2017-06-06,0.0015556638348818515,0.0015556638348818515
2017-06-07,0.019882486721167825,0.019882486721167825
2017-06-08,0.0005299314302135424,0.00019659809688020907
2017-06-09,-0.0014147003217224938,-0.0014147003217224938
2017-06-12,-0.003745622105071613,-0.003745622105071613
2017-06-13,0.008822471279471838,0.008822471279471838
2017-06-14,-0.011808509760734736,-0.011808509760734736
2017-06-15,0.007154060993563802,0.006683472758269684
2017-06-16,-0.005623654888351486,-0.005623654888351486
2017-06-19,0.006704813375636136,0.006704813375636136
2017-06-20,0.002827944496480739,0.002827944496480739
2017-06-21,0.010658147109749893,0.010658147109749893
2017-06-22,-0.011089966516893202,-0.011619378281599084
2017-06-23,0.00901742596405584,0.00901742596405584
2017-06-26,0.020765026056120645,0.020765026056120645
2017-06-27,-0.0008704634276144716,-0.0008704634276144716
2017-06-28,-0.00871663009505953,-0.00871663009505953
2017-06-29,0.005730241613874864,0.0053552416138748634
2017-06-30,-0.005328744521706111,-0.005328744521706111
2017-07-03,-0.001924850004039925,-0.001924850004039925
2017-07-04,-0.0076816331220933695,-0.0076816331220933695
2017-07-05,0.009415050722454299,0.009415050722454299
2017-07-06,-0.007435914327610103,-0.007717164327610103
2017-07-07,0.0018858464127429603,0.0018858464127429603
2017-07-10,0.000606566894523875,0.000606566894523875
2017-07-11,-0.00633229340647909,-0.00633229340647909
2017-07-12,0.0006650129414213969,0.0006650129414213969
2017-07-13,-0.004568457469339849,-0.004841184742067121
2017-07-14,-0.002534614064989448,-0.002534614064989448
2017-07-17,-0.04070817269649151,-0.04070817269649151
2017-07-18,0.008849864058515405,0.008849864058515405
2017-07-19,0.01871928874691239,0.01871928874691239
2017-07-20,0.014292622441671407,0.013939681265200819
2017-07-21,-0.0018305175123029547,-0.0018305175123029547
2017-07-24,0.0005041797321489397,0.0005041797321489397
2017-07-25,-0.005033932759827228,-0.005033932759827228
2017-07-26,0.0008529187001552267,0.0008529187001552267
2017-07-27,0.025012839103660957,0.02465989792719037
2017-07-28,0.01444812570929409,0.01444812570929409
2017-07-31,0.021584707553801905,0.021584707553801905
2017-08-01,0.002055539120627353,0.002055539120627353
2017-08-02,-4.170931962928908e-06,-4.170931962928908e-06
2017-08-03,0.002023818706811814,0.0017297010597529905
2017-08-04,-0.01877267307056808,-0.01877267307056808
2017-08-07,0.007895187159714196,0.007895187159714196
2017-08-08,0.009008234883015002,0.009008234883015002
2017-08-09,-0.0032608367826591628,-0.0032608367826591628
2017-08-10,-0.010256933142709349,-0.010609874319179938
2017-08-11,-0.04025859084160307,-0.04025859084160307
2017-08-14,0.034044044087247136,0.034044044087247136
2017-08-15,0.008550290983322835,0.008550290983322835
2017-08-16,-0.004053391509372747,-0.004053391509372747
2017-08-17,0.010184093392317843,0.009919387509964902
2017-08-18,-0.008671611277071245,-0.008671611277071245
2017-08-21,0.018645345717538384,0.018645345717538384
2017-08-22,0.004284233755367494,0.004284233755367494
2017-08-23,-0.018277526658254224,-0.018277526658254224
2017-08-24,-0.008826207010883857,-0.00912923731391416
2017-08-25,0.017751160137490483,0.017751160137490483
2017-08-28,0.0135764205530722,0.0135764205530722
2017-08-29,-0.005979063280125309,-0.005979063280125309
2017-08-30,0.005035018388671666,0.005035018388671666
2017-08-31,0.0007835403150041121,0.0004199039513677484
2017-09-01,0.008516832597396806,0.008516832597396806
2017-09-04,0.0028003958485821466,0.0028003958485821466
2017-09-05,-0.0036470718648008976,-0.0036470718648008976
2017-09-06,0.0048298248301290305,0.0048298248301290305
2017-09-07,-0.01034598689622093,-0.010649017199251234
2017-09-08,-0.004026896575994294,-0.004026896575994294
2017-09-11,0.012010282546827135,0.012010282546827135
2017-09-12,-0.004891525178686554,-0.004891525178686554
2017-09-13,0.0027083169832033635,0.0027083169832033635
2017-09-14,-0.007023604282657748,-0.007447846706900172
2017-09-15,-0.002076585509359901,-0.002076585509359901
2017-09-18,0.013313669353503534,0.013313669353503534
2017-09-19,-0.005431593414042111,-0.005431593414042111
2017-09-20,0.009277495284139356,0.009277495284139356
2017-09-21,-0.01443551946044916,-0.014859761884691585
2017-09-22,-0.012545062511708359,-0.012545062511708359
2017-09-25,-0.01693813578999893,-0.01693813578999893
2017-09-26,0.01633934839601901,0.01633934839601901
2017-09-27,0.008835606913774548,0.008835606913774548
2017-09-28,-0.0028871814887355173,-0.003250817852371881
2017-09-29,0.0017286609787549427,0.0017286609787549427
2017-10-09,0.0178333065205588,0.0178333065205588
2017-10-10,-0.001966313598683571,-0.001966313598683571
2017-10-11,-0.006429124160157221,-0.006429124160157221
2017-10-12,-0.0030214332350766006,-0.0036274938411372066
2017-10-13,0.005200837480830821,0.005200837480830821
2017-10-16,-0.0071291223618262884,-0.0071291223618262884
2017-10-17,-0.00316439816744449,-0.00316439816744449
2017-10-18,-0.005944800164786202,-0.005944800164786202
2017-10-19,-0.01623640685576457,-0.01653943715879487
2017-10-20,0.01240769604600397,0.01240769604600397
2017-10-23,0.005323985793404809,0.005323985793404809
2017-10-24,0.004474740459446146,0.004474740459446146
2017-10-25,0.005256091689824963,0.005256091689824963
2017-10-26,0.010910994681153259,0.010607964378122956
2017-10-27,0.0030692348994784276,0.0030692348994784276
2017-10-30,-0.013778280669042756,-0.013778280669042756
2017-10-31,0.00939188591158893,0.00939188591158893
2017-11-01,-0.0016754901801895132,-0.0016754901801895132
2017-11-02,-0.0017680948186260049,-0.0020105190610502474
2017-11-03,-0.006435946116223688,-0.006435946116223688
2017-11-06,0.019708978208395386,0.019708978208395386
2017-11-07,0.014621059213974958,0.014621059213974958
2017-11-08,0.00046705030437781494,0.00046705030437781494
2017-11-09,0.005379421087253609,0.005046087753920276
2017-11-10,-0.0008447649208974441,-0.0008447649208974441
2017-11-13,0.004562478594872253,0.004562478594872253
2017-11-14,-0.010111808916287258,-0.010111808916287258
2017-11-15,-0.014730911222836585,-0.014730911222836585
2017-11-16,0.005409079874683364,0.005034079874683363
2017-11-17,-0.020139360356397525,-0.020139360356397525
2017-11-20,0.009150038763334211,0.009150038763334211
2017-11-21,0.015588215512243509,0.015588215512243509
2017-11-22,-6.11190057367136e-05,-6.11190057367136e-05
2017-11-23,-0.03604550660897153,-0.03642050660897153
2017-11-24,-0.006534633469493657,-0.006534633469493657
2017-11-27,-0.025707581137178352,-0.025707581137178352
2017-11-28,0.017261441999784483,0.017261441999784483
2017-11-29,-0.0037210238885483716,-0.0037210238885483716
2017-11-30,-0.012665088431894468,-0.013102588431894468
2017-12-01,0.005646512794088931,0.005646512794088931
2017-12-04,0.0005965710763735713,0.0005965710763735713
2017-12-05,-0.016403544263308593,-0.016403544263308593
2017-12-06,0.008410667196348375,0.008410667196348375
2017-12-07,-0.014778422956072878,-0.015278422956072879
2017-12-08,0.008638762996215039,0.008638762996215039
2017-12-11,0.02234585211580201,0.02234585211580201
2017-12-12,-0.013306460153823736,-0.013306460153823736
2017-12-13,0.008774427315256099,0.008774427315256099
2017-12-14,-0.0024085110293465386,-0.0028772610293465385
2017-12-15,-0.015407475931713628,-0.015407475931713628
2017-12-18,-0.011984544794013037,-0.011984544794013037
2017-12-19,0.01109143921201876,0.01109143921201876
2017-12-20,-0.005558674522424996,-0.005558674522424996
2017-12-21,0.013128698771912584,0.012773860062235165
2017-12-22,-0.00013797764061002383,-0.00013797764061002383
2017-12-25,-0.007636603245660245,-0.007636603245660245
