"","CMC.5.Long.Decile.1.Lookback.1.All","CMC.5.Long.Decile.1.Lookback.1.Positive","CMC.5.Long.Decile.1.Lookback.1.Negative","CMC.5.Short.Decile.10.Lookback.10.All","CMC.5.Short.Decile.10.Lookback.10.Positive","CMC.5.Short.Decile.10.Lookback.10.Negative","year"
"Sharpe","-0.373588665512893","-0.458854255929126","-0.395779325881103","0.762156916304123","0.724998010386043","0.613333272137104","2016"
"Sortino","-0.470476635355475","-0.578908930668939","-0.492787033696384","1.25710779755274","1.20395662402463","1.00888180726656","2016"
"Calmar","-0.366393426206038","-0.455618604037557","-0.393350572123319","1.0882387970422","1.00467081948581","0.755722169265596","2016"
"Skewness","-1.56702189209084","-1.50422902463409","-1.6698574847038","1.2998659327402","1.37287625762546","1.34237980432607","2016"
""," "," "," "," "," "," "," "
"Periods","243","243","243","243","243","243","2017"
"Return","0.0501045358179897","0.0566011991847348","0.0997441738796971","-0.00669403109261146","-0.100106464349273","-0.0669188521028274","2017"
"Daily_Max","0.022938733","0.026091462","0.024741478","0.038656044","0.036739593","0.040945655","2017"
"Daily_Min","-0.037761221","-0.02908862","-0.028760821","-0.033950206","-0.032828532","-0.030960711","2017"
"Annual_Return","0.0524215655563149","0.0592270393078358","0.104468107119667","-0.00699475332798305","-0.104375473354128","-0.0698278698544561","2017"
"Volatility","0.123385461335725","0.116197072916525","0.115258975381736","0.184493391882939","0.178581998622667","0.18002763956315","2017"
"SemiDeviation","0.0898473043278752","0.0829718636197515","0.0815966245123134","0.124218573020257","0.119579187192146","0.119711247428071","2017"
"MaxDrawdown","0.0936729976404085","0.0790903309690356","0.0787552013416516","0.157062819992421","0.195253877098752","0.184778226134741","2017"
"Sharpe","0.42486014955748","0.509711973126757","0.906377197729456","-0.0379133000732147","-0.584468054782317","-0.387873051182022","2017"
"Sortino","0.583451734567523","0.713820766751306","1.28029937199059","-0.0563100441255459","-0.872856521314305","-0.583302499595226","2017"
"Calmar","0.559623017057174","0.748853097239201","1.3264915248768","-0.0445347493972194","-0.53456287222066","-0.377900964389263","2017"
"Skewness","-0.511491671327996","-0.146295745767955","-0.0888396106566173","0.349907636378675","0.380905445889332","0.531353904110235","2017"
""," "," "," "," "," "," "," "
"Periods","242","242","242","242","242","242","2018"
"Return","-0.302879913501314","-0.328124812630443","-0.334325911938083","0.608706928000042","0.50284773594242","0.574634504023644","2018"
"Daily_Max","0.045664509","0.047634063","0.045654306","0.066922939","0.067666902","0.064018107","2018"
"Daily_Min","-0.066247839","-0.063963736","-0.065284175","-0.051515826","-0.053230403","-0.050382674","2018"
"Annual_Return","-0.315190620532651","-0.341190815875407","-0.347570135495318","0.646923110524809","0.533386105590648","0.610337979958986","2018"
