,CMC 5-Long-Decile 1 Lookback 1-All,CMC 5-Long-Decile 1 Lookback 1-Positive,CMC 5-Long-Decile 1 Lookback 1-Negative,CMC 5-Short-Decile 10 Lookback 10-All,CMC 5-Short-Decile 10 Lookback 10-Positive,CMC 5-Short-Decile 10 Lookback 10-Negative,BM,CMC 5-Long-Decile 1 Lookback 1-All,CMC 5-Long-Decile 1 Lookback 1-Positive,CMC 5-Long-Decile 1 Lookback 1-Negative,CMC 5-Short-Decile 10 Lookback 10-All,CMC 5-Short-Decile 10 Lookback 10-Positive,CMC 5-Short-Decile 10 Lookback 10-Negative,Equal Weight
10/22/2018,-0.003775491,-0.001805937,-0.003785694,-0.001886764,-0.003790403,-0.000878302,0.04944,1.514595174,1.442047946,1.620981502,1.70245683,1.430495232,1.437830471,0.790759306
10/23/2018,0.003114414,-0.002683113,-0.003763933,0.014449917,0.015563694,0.013952792,-0.019646667,1.519312251,1.438178769,1.614880236,1.72705719,1.452759022,1.457892221,0.775223522
10/24/2018,-0.000100242,-0.000955163,-0.00197576,0.00474433,0.003193847,0.005619449,0.000501672,1.519159952,1.436805074,1.611689621,1.735250919,1.457398912,1.466084772,0.77561243
10/25/2018,0.002536803,0.002469994,0.004693515,0.010592363,0.011325469,0.013985901,0.002632107,1.523013761,1.440353974,1.61925411,1.753631327,1.473904639,1.486589288,0.777653925
10/26/2018,0.000876571,-0.006418323,0.001509305,-0.007874226,-0.007424834,-0.009064178,-0.003100334,1.524348791,1.431109316,1.621698058,1.739822838,1.462961141,1.473114579,0.775242937
10/29/2018,0.004774014,-0.004044293,0.003480277,0.009395684,0.011450355,0.008604087,-0.019511706,1.531626054,1.425321491,1.627342017,1.756169663,1.479712566,1.485789384,0.760116625
10/30/2018,0.000512423,-0.004960743,0.00223161,0.007125821,0.010320717,0.003870917,0.013404682,1.532410894,1.418250837,1.630973609,1.768683814,1.49498426,1.491540752,0.770305747
10/31/2018,-0.001488675,-0.001172376,-0.000910334,-0.004737498,-0.006583566,-0.008260224,0.01316388,1.530129632,1.416588114,1.629488879,1.760304678,1.485141933,1.479220291,0.780445959
11/1/2018,0.005183601,0.003900706,-0.000702995,-0.007443446,-0.007387715,-0.00324066,0.00805,1.538061214,1.422113808,1.628343356,1.747201945,1.474170128,1.474426641,0.786728549
11/2/2018,0.000104133,-0.002036852,0.000727221,-0.018395826,-0.0153025,-0.017262674,0.03312,1.538221377,1.419217173,1.629527522,1.715060722,1.451611639,1.448974095,0.812784999
