Date,Title,Link,Id
25 Jan 2019,Hang Seng CSI Shanghai-Hong Kong AH Smart Index Half-Yearly Index Review Results,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190125T163000.pdf,c5837c27a0
17 Jan 2019,Hang Seng Indexes Confirms Compliance with the IOSCO Principles for Financial Benchmarks,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190117T000000.pdf,301b61412f
04 Jan 2019,Hang Seng Indexes Announces Next Index Review Date,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190104T000000.pdf,e9143dd8c0
03 Jan 2019,"Hang Seng Stock Connect China AH Smart Index, Hang Seng China Enterprises Smart Index and Hang Seng Stock Connect Sector Top Index Monthly Share Class Switches Result",https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190103T161600.pdf,33aea71983
03 Jan 2019,Hang Seng CSI Shanghai-Hong Kong AH Smart Index Monthly Share Class Switches Result,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190103T161500.pdf,8f75119386
02 Jan 2019,Constituent Changes in Hang Seng Family of Indexes,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20190102T000000.pdf,5fa0698894
19 Dec 2018,Constituent Changes in Hang Seng Family of Indexes,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20181219T000000.pdf,7332198c16
13 Dec 2018,Technical Notice —  Index Treatment For The Proposed Distribution In Specie By Tencent,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20181213T000000.pdf,effa53979c
06 Dec 2018,Constituent Changes in Hang Seng Family of Indexes,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20181206T161700.pdf,5f469d0da1
06 Dec 2018,"Hang Seng Stock Connect China AH Smart Index, Hang Seng China Enterprises Smart Index and Hang Seng Stock Connect Sector Top Index Monthly Share Class Switches Result",https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20181206T161600.pdf,77a3e2b55d
06 Dec 2018,Hang Seng CSI Shanghai-Hong Kong AH Smart Index Monthly Share Class Switches Result,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20181206T161500.pdf,0d894df547
03 Dec 2018,Constituent Changes in Hang Seng Family of Indexes,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20181203T000000.pdf,7842d5f12e
09 Nov 2018,Index Review Results for Thematic Indexes,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20181109T000000.xls,39a737eef1
01 Nov 2018,"Hang Seng Stock Connect China AH Smart Index, Hang Seng China Enterprises Smart Index and Hang Seng Stock Connect Sector Top Index Monthly Share Class Switches Result",https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20181101T161600.pdf,dfb759c097
01 Nov 2018,Hang Seng CSI Shanghai-Hong Kong AH Smart Index Monthly Share Class Switches Result,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20181101T161500.pdf,3eb4b2a318
11 Oct 2018,"Hang Seng Stock Connect China AH Smart Index, Hang Seng China Enterprises Smart Index and Hang Seng Stock Connect Sector Top Index Monthly Share Class Switches Result",https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20181011T161600.pdf,275c85b40a
11 Oct 2018,Hang Seng CSI Shanghai-Hong Kong AH Smart Index Monthly Share Class Switches Result,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20181011T161500.pdf,f227035dcb
10 Oct 2018,Hang Seng Indexes Announces Next Index Review Date,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20181010T000000.pdf,c71257498b
20 Sep 2018,Constituent Changes in Hang Seng Family of Indexes,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20180920T000000.pdf,0d832d5e18
06 Sep 2018,"Hang Seng Stock Connect China AH Smart Index, Hang Seng China Enterprises Smart Index and Hang Seng Stock Connect Sector Top Index Monthly Share Class Switches Result",https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20180906T161600.pdf,bc00460165
06 Sep 2018,Hang Seng CSI Shanghai-Hong Kong AH Smart Index Monthly Share Class Switches Result,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20180906T161500.pdf,5f13e8ccbc
13 Aug 2018,Increase Dissemination Frequency for Total Return Indexes,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20180813T000000.pdf,dc4f9ab473
10 Aug 2018,Index Review Results for Benchmark and Thematic Indexes,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20180810T000000.xls,7ef25ebdd5
02 Aug 2018,Hang Seng Stock Connect China AH Smart Index and Hang Seng China Enterprises Smart Index Monthly Share Class Switches Result,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20180802T161600.pdf,3b0d78e259
02 Aug 2018,Hang Seng CSI Shanghai-Hong Kong AH Smart Index Monthly Share Class Switches Result,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20180802T161500.pdf,7786924c71
27 Jul 2018,Hang Seng CSI Shanghai-Hong Kong AH Smart Index Half-Yearly Index Reviews Results,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20180727T000000.pdf,4d9b5c7758
20 Jul 2018,Constituent Changes in Hang Seng Family of Indexes,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20180720T000000.pdf,050f853b26
13 Jul 2018,Changes in Hang Seng iBond Index Series,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20180713T000000.pdf,5b1b94afb8
10 Jul 2018,Hang Seng Indexes Announces Next Index Review Date,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20180710T000000.pdf,24eb367e56
09 Jul 2018,Constituent Changes in Hang Seng Family of Indexes,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20180709T161600.pdf,aace0d1885
05 Jul 2018,Hang Seng Stock Connect China AH Smart Index and Hang Seng China Enterprises Smart Index Monthly Share Class Switches Result,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20180705T161600.pdf,0921dc065f
05 Jul 2018,Hang Seng CSI Shanghai-Hong Kong AH Smart Index Monthly Share Class Switches Result,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20180705T161500.pdf,8eb9941b42
04 Jul 2018,Constituent Changes in Hang Seng Family of Indexes,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20180704T161600.pdf,abfb32ce25
04 Jul 2018,Constituent Changes in Hang Seng Family of Indexes,https://www.hsi.com.hk/static/uploads/contents/en/news/indexChgNotice/20180704T161500.pdf,9b463d6aab
