Time,Title,Types,Number of reads,Comments,Author
08-09 17:38,北向资金净流入近14亿元 平安银行获净买入,资讯,14223,9,财经评论
08-09 15:36,平安银行盘中最高14.85元创历史新高，总市,资讯,2993,1,财经评论
08-09 12:51,平安银行中报点评：业绩亮眼 全面开花,资讯,2805,4,财经评论
08-09 10:58,中报点评：营收高增长，资产质量持续改善,研报,10550,2,平安银行资讯
08-09 09:47,招行、平安、光大三家“理财子公司”管理层落定 刘辉,资讯,4978,1,招商银行资讯
08-09 09:35,平安银行半年报点评：息差提升推动净利快速增长,资讯,1686,1,财经评论
08-09 08:59,平安银行(000001)融资融券信息(08-08),资讯,1731,0,平安银行资讯
08-09 08:54,平安银行：融资净偿还1.13亿元，两市排名第二（08-08,资讯,970,0,财经评论
08-09 08:25,平安银行上半年净利润154亿增15% 贷款减值损失236亿,资讯,3275,1,平安银行资讯
08-09 06:37,平安银行交出三年来最好半年业绩单,资讯,5584,7,平安银行资讯
08-09 03:25,平安银行2019年中期净利154.03亿元 增15.2% 转型开启,资讯,4699,2,平安银行资讯
08-09 02:26,这次期中考试考得不错！平安银行是如何做到的？,资讯,2799,2,平安银行资讯
08-08 23:49,果然私行“暴增”！从信托“挖来”千人团队 半年带来1,资讯,11035,1,平安银行资讯
08-08 22:41,8位平安银行高管集体亮相：谢永林规划未来 对公女掌门,资讯,3533,1,平安银行资讯
08-08 20:13,平安银行零售转型完成“小目标”  谢永林称“不容易、,资讯,2541,1,平安银行资讯
08-08 18:24,沪深两市08月08日35只个股发生52笔大宗交易 共成交7.8,资讯,1737,0,平安银行资讯
08-08 17:43,北向资金今日净流入25.49亿元 平安银行获净买入7.7亿,资讯,15477,11,平安银行资讯
08-08 16:06,平安银行董事长谢永林：零售转型策略突破传统 核心优,资讯,2619,0,平安银行资讯
08-08 16:02,平安银行：2季度业绩增速持续向上 新业务不良趋势呈向,资讯,2022,0,平安银行资讯
08-08 15:46,平安银行2019“期中成绩单”：净利润增长15.2% 谢永林,资讯,2176,1,平安银行资讯
08-08 15:44,半年报点评：息差提升推动净利快速增长,研报,9199,0,平安银行资讯
08-08 15:31,业绩超预期！平安银行大涨6.5%领涨银行板块,资讯,2468,0,平安银行资讯
08-08 15:14,平安银行2019“期中成绩单”：净利润增长15,资讯,1869,1,平安银行资讯
08-08 14:58,点评报告：二季度净息差继续上行,研报,9179,1,平安银行资讯
08-08 14:53,2019年平安银行零售推行全面AI化,资讯,2512,4,平安银行资讯
08-08 14:36,平安银行2019年半年报点评：盈利能力稳步提,研报,10328,2,平安银行资讯
08-08 14:19,零售业务步入提质阶段，资产质量优化,研报,8185,2,平安银行资讯
08-08 13:58,2019年半年报点评：零售转型持续兑现，资产,研报,8056,1,平安银行资讯
08-08 13:33,平安银行：推动全行整体科技能力进入股份制,资讯,2508,1,平安银行资讯
08-08 12:29,公司动态点评：今日之子，明日之星,研报,13454,6,平安银行资讯
08-08 11:43,2019年中报点评：零售信贷占比继续提升,研报,9892,4,平安银行资讯
08-08 11:22,All-round improvement; NIM & NPL are bri,研报,8102,3,平安银行资讯
08-08 11:16,平安银行1H19中报详细拆解：业绩增长好于预,研报,9924,1,平安银行资讯
08-08 11:10,平安银行2019年中期净利154.03亿元 转型开,资讯,4221,2,平安银行资讯
08-08 11:09,平安银行股份有限公司监事会决议公告,资讯,1670,1,平安银行资讯
08-08 11:05,平安银行8月8日盘中涨幅达5%,资讯,720,0,平安银行资讯
08-08 10:54,平安银行零售业绩快速提升,资讯,2182,0,平安银行资讯
08-08 10:52,业绩亮眼，全面开花,研报,13564,13,平安银行资讯
08-08 10:46,业绩放光彩，转型显效果,研报,7884,0,平安银行资讯
08-08 10:37,"中信建投-平安银行(000001)业绩增长超预期,",研报,10136,0,平安银行资讯
08-08 10:34,1H19业绩：业绩靓丽，零售标杆,研报,9168,0,平安银行资讯
08-08 10:22,平安银行上半年净利同比增长15.2%,资讯,2017,0,平安银行资讯
08-08 10:18,半年报送利好 平安银行大涨近4%领涨银行板,资讯,1901,0,平安银行资讯
08-08 09:42,业绩全面改善，净息差及不良率表现亮眼,研报,8750,3,平安银行资讯
