,averaged daily return,averaged daily return after transaction cost
2015-08-11,0.003943154824722005,0.003943154824722005
2015-08-12,-0.00908485607601552,-0.00908485607601552
2015-08-13,0.023182870049686694,0.022022870049686692
2015-08-14,0.004235976198903889,0.004235976198903889
2015-08-17,0.010826618176909062,0.010826618176909062
2015-08-18,-0.07650805718124604,-0.07650805718124604
2015-08-19,0.027383247261030915,0.027383247261030915
2015-08-20,-0.03819467342716548,-0.03919467342716548
2015-08-21,-0.059766900268056075,-0.059766900268056075
2015-08-24,-0.09943588180877398,-0.09943588180877398
2015-08-25,-0.08497943799891114,-0.08497943799891114
2015-08-26,-0.008157213653977542,-0.008157213653977542
2015-08-27,0.06433605408959578,0.06312772075626244
2015-08-28,0.056924635222914924,0.056924635222914924
2015-08-31,0.0029776276156399093,0.0029776276156399093
