Date,Price,Open,High,Low,Vol.,Change %
16-Oct-18,"3,100.97","3,128.58","3,166.09","3,089.37",68.89K,-0.81%
15-Oct-18,"3,126.45","3,173.85","3,183.13","3,120.23",69.61K,-1.40%
12-Oct-18,"3,170.73","3,123.37","3,184.12","3,094.97",98.61K,1.49%
11-Oct-18,"3,124.11","3,179.54","3,209.52","3,099.04",120.94K,-4.80%
10-Oct-18,"3,281.60","3,295.43","3,315.73","3,256.58",64.49K,-0.22%
9-Oct-18,"3,288.69","3,290.17","3,309.80","3,276.13",66.72K,-0.07%
8-Oct-18,"3,290.90","3,361.56","3,364.46","3,285.25",97.89K,-4.30%
28-Sep-18,"3,438.86","3,409.96","3,444.99","3,404.70",84.38K,1.04%
27-Sep-18,"3,403.59","3,415.95","3,423.71","3,394.73",69.77K,-0.40%
26-Sep-18,"3,417.24","3,388.56","3,448.26","3,383.24",93.17K,1.11%
25-Sep-18,"3,379.80","3,375.97","3,394.38","3,367.03",69.06K,-0.90%
21-Sep-18,"3,410.49","3,320.70","3,410.49","3,307.77",108.42K,3.03%
20-Sep-18,"3,310.13","3,314.88","3,332.31","3,303.07",64.56K,-0.07%
19-Sep-18,"3,312.48","3,262.00","3,335.99","3,258.31",89.17K,1.32%
18-Sep-18,"3,269.43","3,193.64","3,270.11","3,193.64",70.43K,2.01%
17-Sep-18,"3,204.92","3,224.93","3,230.79","3,200.51",52.26K,-1.15%
14-Sep-18,"3,242.09","3,242.83","3,254.10","3,227.94",60.13K,0.17%
13-Sep-18,"3,236.57","3,239.69","3,249.59","3,191.40",67.29K,1.08%
12-Sep-18,"3,202.02","3,216.99","3,225.60","3,194.98",54.63K,-0.69%
11-Sep-18,"3,224.21","3,229.71","3,245.62","3,209.11",58.49K,-0.18%
10-Sep-18,"3,230.07","3,271.38","3,277.88","3,227.85",63.82K,-1.45%
7-Sep-18,"3,277.64","3,273.89","3,316.61","3,253.72",63.95K,0.45%
6-Sep-18,"3,262.88","3,286.66","3,311.50","3,253.76",62.30K,-1.07%
5-Sep-18,"3,298.14","3,349.70","3,354.20","3,298.14",64.30K,-1.95%
4-Sep-18,"3,363.90","3,324.19","3,370.96","3,307.96",67.09K,1.27%
3-Sep-18,"3,321.82","3,320.69","3,325.61","3,291.78",66.43K,-0.38%
31-Aug-18,"3,334.50","3,333.38","3,356.58","3,310.87",76.21K,-0.50%
30-Aug-18,"3,351.09","3,385.81","3,402.56","3,349.47",68.39K,-1.05%
29-Aug-18,"3,386.57","3,393.05","3,398.71","3,377.12",67.02K,-0.40%
28-Aug-18,"3,400.17","3,408.15","3,416.59","3,388.81",75.45K,-0.19%
27-Aug-18,"3,406.57","3,339.39","3,406.57","3,339.26",94.27K,2.44%
24-Aug-18,"3,325.33","3,308.48","3,353.04","3,291.87",63.77K,0.16%
23-Aug-18,"3,320.03","3,308.46","3,336.11","3,285.81",61.11K,0.37%
22-Aug-18,"3,307.95","3,328.97","3,328.97","3,299.39",50.79K,-0.56%
21-Aug-18,"3,326.65","3,271.84","3,331.71","3,270.03",75.21K,1.82%
20-Aug-18,"3,267.25","3,238.22","3,267.25","3,209.01",70.90K,1.17%
17-Aug-18,"3,229.62","3,305.90","3,311.57","3,224.10",67.40K,-1.44%
16-Aug-18,"3,276.73","3,251.86","3,315.20","3,231.56",76.55K,-0.46%
15-Aug-18,"3,291.98","3,371.96","3,372.14","3,288.71",68.17K,-2.40%
14-Aug-18,"3,372.91","3,386.48","3,391.73","3,356.61",60.65K,-0.51%
13-Aug-18,"3,390.34","3,369.98","3,396.19","3,336.70",76.19K,-0.43%
10-Aug-18,"3,405.02","3,398.41","3,424.04","3,380.57",68.97K,0.22%
9-Aug-18,"3,397.53","3,303.48","3,408.39","3,299.62",91.96K,2.50%
8-Aug-18,"3,314.51","3,362.15","3,368.16","3,311.77",79.29K,-1.61%
7-Aug-18,"3,368.87","3,284.98","3,368.96","3,263.50",91.78K,2.92%
6-Aug-18,"3,273.27","3,312.82","3,344.25","3,257.69",77.98K,-1.27%
3-Aug-18,"3,315.28","3,366.66","3,381.34","3,315.20",70.80K,-1.65%
2-Aug-18,"3,370.96","3,434.35","3,434.35","3,322.10",101.31K,-2.22%
1-Aug-18,"3,447.39","3,530.03","3,543.61","3,446.78",90.35K,-2.00%
31-Jul-18,"3,517.66","3,510.47","3,528.15","3,493.15",67.98K,0.07%
30-Jul-18,"3,515.08","3,520.85","3,550.90","3,489.55",82.12K,-0.17%
27-Jul-18,"3,521.23","3,533.77","3,545.41","3,512.70",70.18K,-0.42%
26-Jul-18,"3,536.25","3,583.32","3,593.92","3,528.64",90.35K,-1.16%
25-Jul-18,"3,577.75","3,589.51","3,589.98","3,566.31",96.76K,-0.11%
24-Jul-18,"3,581.71","3,530.66","3,596.51","3,530.66",156.91K,1.59%
23-Jul-18,"3,525.75","3,471.86","3,527.53","3,464.65",119.04K,0.94%
20-Jul-18,"3,492.89","3,426.46","3,505.93","3,398.95",101.99K,1.88%
19-Jul-18,"3,428.34","3,444.80","3,466.51","3,417.96",68.48K,-0.09%
